location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,CAPE,CAPE,Wind Gust,Wind Gust,Wind Gust,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Temperature,Soil Temperature,Soil Moisture,Soil Moisture,Soil Moisture,Vapor Pressure Deficit,Vapor Pressure Deficit,Vapor Pressure Deficit
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,J/kg,J/kg,km/h,km/h,km/h,km/h,km/h,km/h,°,km/h,km/h,km/h,°,km/h,km/h,km/h,°,km/h,km/h,km/h,°,km/h,km/h,km/h,°,km/h,km/h,km/h,°,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,Gpm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,m³/m³,m³/m³,m³/m³,hPa,hPa,hPa
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,180-0 mb above gnd,180-0 mb above gnd,sfc,sfc,sfc,10 m,10 m,10 m,10 m,80 m,80 m,80 m,80 m,900 mb,900 mb,900 mb,900 mb,850 mb,850 mb,850 mb,850 mb,700 mb,700 mb,700 mb,700 mb,500 mb,500 mb,500 mb,500 mb,1000 mb,1000 mb,1000 mb,850 mb,850 mb,850 mb,700 mb,700 mb,700 mb,500 mb,500 mb,500 mb,1000 mb,1000 mb,1000 mb,850 mb,850 mb,850 mb,700 mb,700 mb,700 mb,sfc,sfc,sfc,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,0-10 cm down,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Summation,Mean,Mean,Mean,Mean,Summation,Summation,Summation,Summation,Summation,Summation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,None,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Snowfall Amount,Basel Cloud Cover Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Basel Sunshine Duration,Basel Shortwave Radiation,Basel Direct Shortwave Radiation,Basel Diffuse Shortwave Radiation,Basel Evapotranspiration,Basel FAO Reference Evapotranspiration [2 m],Basel CAPE [180-0 mb above gnd],Basel CAPE [180-0 mb above gnd],Basel CAPE [180-0 mb above gnd],Basel Wind Gust,Basel Wind Gust,Basel Wind Gust,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Direction Dominant [80 m],Basel Wind Speed [900 mb],Basel Wind Speed [900 mb],Basel Wind Speed [900 mb],Basel Wind Direction Dominant [900 mb],Basel Wind Speed [850 mb],Basel Wind Speed [850 mb],Basel Wind Speed [850 mb],Basel Wind Direction Dominant [850 mb],Basel Wind Speed [700 mb],Basel Wind Speed [700 mb],Basel Wind Speed [700 mb],Basel Wind Direction Dominant [700 mb],Basel Wind Speed [500 mb],Basel Wind Speed [500 mb],Basel Wind Speed [500 mb],Basel Wind Direction Dominant [500 mb],Basel Geopotential Height [1000 mb],Basel Geopotential Height [1000 mb],Basel Geopotential Height [1000 mb],Basel Geopotential Height [850 mb],Basel Geopotential Height [850 mb],Basel Geopotential Height [850 mb],Basel Geopotential Height [700 mb],Basel Geopotential Height [700 mb],Basel Geopotential Height [700 mb],Basel Geopotential Height [500 mb],Basel Geopotential Height [500 mb],Basel Geopotential Height [500 mb],Basel Temperature [1000 mb],Basel Temperature [1000 mb],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Temperature [850 mb],Basel Temperature [850 mb],Basel Temperature [700 mb],Basel Temperature [700 mb],Basel Temperature [700 mb],Basel Temperature,Basel Temperature,Basel Temperature,Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Temperature [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Soil Moisture [0-10 cm down],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m],Basel Vapor Pressure Deficit [2 m]
20150101T0000,-1.9994713,4.2805285,0.37136194,68,87,79.416664,1035.1,1037.7,1036.2458,0,0,0.33333334,0,0,0.33333334,511.72604,1737.2799,976.5579,760.7221,0.34848,0.54951966,0,0,0,3.6,23.039999,11.370002,1.4399999,12.904882,6.605597,128.6598,0.35999998,19.592731,8.56947,131.77763,2.16,33.839996,22.8315,87.738495,3.2599385,39.26641,25.173738,82.495056,6.9899354,48.325893,28.142616,49.5804,25.417631,55.643005,37.258247,31.607498,275,298,286,1570,1608,1589,3117,3178,3146.8333,5702,5770,5729.7915,-1.75,4.12,0.0779166,-1.9,5.83,2.0404167,-4.2,-1.49,-2.94625,-1.09,4.43,0.7150001,0.7000122,3.230011,1.5458399,0.308,0.332,0.3124167,0.705286,2.6492114,1.3429228
